Hello from premain
------------------------------------------------------------
name: okhttp3.OkHttpClient$Builder
canonicalName: okhttp3.OkHttpClient.Builder
simpleName: Builder
typeName: okhttp3.OkHttpClient$Builder
------------------------------------------------------------
[Byte Buddy] COMPLETE okio.Buffer [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.BufferedSource [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.BufferedSource [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.BufferedSource [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.Source [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.Source [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.Source [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.nio.channels.ReadableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.nio.channels.ReadableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.nio.channels.ReadableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.BufferedSink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.BufferedSink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.BufferedSink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.Sink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.Sink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.Sink [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.nio.channels.WritableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.nio.channels.WritableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.nio.channels.WritableByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.nio.channels.ByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.nio.channels.ByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.nio.channels.ByteChannel [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.io.EOFException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.io.EOFException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.io.EOFException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.InvalidKeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.InvalidKeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.InvalidKeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.KeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.KeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.KeyException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY java.security.GeneralSecurityException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE java.security.GeneralSecurityException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE java.security.GeneralSecurityException [null, module java.base, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio._UtilKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio._UtilKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio._UtilKt [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.Buffer$UnsafeCursor [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.Buffer$UnsafeCursor [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.Buffer$UnsafeCursor [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.ResponseBody$Companion$asResponseBody$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.ResponseBody$Companion$asResponseBody$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.ResponseBody$Companion$asResponseBody$1 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.RequestBody [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.RequestBody [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.RequestBody [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.RequestBody$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.RequestBody$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.RequestBody$Companion [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okhttp3.RequestBody$Companion$toRequestBody$2 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okhttp3.RequestBody$Companion$toRequestBody$2 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okhttp3.RequestBody$Companion$toRequestBody$2 [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY okio.Options [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE okio.Options [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE okio.Options [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.collections.AbstractList [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] IGNORE kotlin.collections.AbstractList [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] COMPLETE kotlin.collections.AbstractList [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
[Byte Buddy] DISCOVERY kotlin.collections.AbstractCollection [jdk.internal.loader.ClassLoaders$AppClassLoader@7ad041f3, unnamed module @1ed6993a, Thread[main,5,main], loaded=false]
